Position, Mass Fraction Fuel, Mass Fraction Oxidizer
0.000000, 1.000000, 0.000000
0.000426, 1.000000, 0.000000
0.000851, 1.000000, 0.000000
0.001277, 1.000000, 0.000000
0.001702, 1.000000, 0.000000
0.002128, 1.000000, 0.000000
0.002553, 1.000000, 0.000000
0.002979, 1.000000, 0.000000
0.003404, 1.000000, 0.000000
0.003830, 1.000000, 0.000000
0.004255, 1.000000, 0.000000
0.004681, 1.000000, 0.000000
0.005106, 1.000000, 0.000000
0.005532, 1.000000, 0.000000
0.005957, 1.000000, 0.000000
0.006383, 1.000000, 0.000000
0.006809, 1.000000, 0.000000
0.007234, 0.999999, 0.000000
0.007660, 0.999997, 0.000000
0.007872, 0.999993, 0.000000
0.008085, 0.999976, 0.000000
0.008298, 0.999902, 0.000000
0.008404, 0.999763, 0.000000
0.008511, 0.999354, 0.000000
0.008617, 0.998214, 0.000000
0.008723, 0.995251, 0.000000
0.008777, 0.992241, 0.000000
0.008830, 0.987304, 0.000000
0.008856, 0.983750, 0.000000
0.008883, 0.979197, 0.000000
0.008910, 0.973429, 0.000000
0.008936, 0.966211, 0.000001
0.008963, 0.957313, 0.000001
0.008989, 0.946524, 0.000002
0.009016, 0.933686, 0.000004
0.009029, 0.926363, 0.000006
0.009043, 0.918448, 0.000008
0.009056, 0.909935, 0.000011
0.009069, 0.900823, 0.000014
0.009076, 0.896001, 0.000016
0.009082, 0.891023, 0.000018
0.009089, 0.885889, 0.000021
0.009096, 0.880599, 0.000023
0.009102, 0.875153, 0.000026
0.009109, 0.869552, 0.000028
0.009116, 0.863797, 0.000031
0.009122, 0.857887, 0.000034
0.009129, 0.851823, 0.000037
0.009136, 0.845606, 0.000040
0.009149, 0.832835, 0.000047
0.009162, 0.819479, 0.000053
0.009176, 0.805541, 0.000061
0.009189, 0.791028, 0.000068
0.009202, 0.775944, 0.000076
0.009209, 0.768123, 0.000081
0.009215, 0.760158, 0.000085
0.009222, 0.752051, 0.000089
0.009229, 0.743802, 0.000094
0.009235, 0.735413, 0.000099
0.009242, 0.726885, 0.000104
0.009249, 0.718220, 0.000109
0.009255, 0.709419, 0.000114
0.009262, 0.700484, 0.000119
0.009269, 0.691418, 0.000124
0.009275, 0.682222, 0.000130
0.009282, 0.672898, 0.000136
0.009289, 0.663449, 0.000141
0.009295, 0.653878, 0.000147
0.009302, 0.644186, 0.000153
0.009309, 0.634377, 0.000160
0.009315, 0.624454, 0.000166
0.009322, 0.614419, 0.000172
0.009328, 0.604277, 0.000179
0.009335, 0.594031, 0.000185
0.009342, 0.583684, 0.000192
0.009348, 0.573240, 0.000199
0.009355, 0.562703, 0.000205
0.009362, 0.552078, 0.000212
0.009368, 0.541368, 0.000219
0.009375, 0.530578, 0.000226
0.009382, 0.519713, 0.000234
0.009388, 0.508777, 0.000241
0.009402, 0.486833, 0.000256
0.009415, 0.464668, 0.000271
0.009441, 0.420275, 0.000302
0.009468, 0.375527, 0.000334
0.009495, 0.330814, 0.000368
0.009508, 0.308445, 0.000386
0.009521, 0.286255, 0.000403
0.009535, 0.264301, 0.000421
0.009548, 0.242648, 0.000440
0.009561, 0.221364, 0.000459
0.009574, 0.200524, 0.000478
0.009588, 0.180212, 0.000497
0.009601, 0.160521, 0.000517
0.009614, 0.141554, 0.000538
0.009628, 0.123426, 0.000559
0.009641, 0.106254, 0.000581
0.009648, 0.098055, 0.000592
0.009654, 0.090143, 0.000604
0.009661, 0.082535, 0.000616
0.009668, 0.075245, 0.000628
0.009674, 0.068285, 0.000641
0.009681, 0.061669, 0.000653
0.009687, 0.055407, 0.000666
0.009694, 0.049509, 0.000680
0.009701, 0.043980, 0.000694
0.009707, 0.038827, 0.000708
0.009714, 0.034052, 0.000723
0.009721, 0.029654, 0.000738
0.009727, 0.025631, 0.000753
0.009734, 0.021977, 0.000769
0.009741, 0.018684, 0.000786
0.009747, 0.015740, 0.000803
0.009754, 0.013131, 0.000820
0.009761, 0.010841, 0.000838
0.009767, 0.008852, 0.000857
0.009774, 0.007142, 0.000876
0.009781, 0.005690, 0.000895
0.009787, 0.004471, 0.000915
0.009794, 0.003463, 0.000935
0.009801, 0.002639, 0.000956
0.009807, 0.001978, 0.000977
0.009814, 0.001454, 0.000999
0.009827, 0.000754, 0.001044
0.009840, 0.000361, 0.001090
0.009854, 0.000158, 0.001139
0.009867, 0.000063, 0.001189
0.009880, 0.000023, 0.001242
0.009894, 0.000007, 0.001297
0.009907, 0.000002, 0.001354
0.009920, 0.000001, 0.001415
0.009934, 0.000000, 0.001479
0.009947, 0.000000, 0.001548
0.009960, 0.000000, 0.001622
0.009973, 0.000000, 0.001704
0.009987, 0.000000, 0.001793
0.010000, 0.000000, 0.001892
0.010013, 0.000000, 0.002004
0.010027, 0.000000, 0.002131
0.010040, 0.000000, 0.002277
0.010053, 0.000000, 0.002445
0.010060, 0.000000, 0.002539
0.010066, 0.000000, 0.002641
0.010073, 0.000000, 0.002750
0.010080, 0.000000, 0.002869
0.010086, 0.000000, 0.002997
0.010093, 0.000000, 0.003135
0.010100, 0.000000, 0.003285
0.010106, 0.000000, 0.003447
0.010113, 0.000000, 0.003622
0.010120, 0.000000, 0.003812
0.010126, 0.000000, 0.004017
0.010133, 0.000000, 0.004240
0.010140, 0.000000, 0.004480
0.010146, 0.000000, 0.004740
0.010153, 0.000000, 0.005021
0.010160, 0.000000, 0.005325
0.010166, 0.000000, 0.005654
0.010173, 0.000000, 0.006009
0.010180, 0.000000, 0.006392
0.010186, 0.000000, 0.006806
0.010193, 0.000000, 0.007252
0.010199, 0.000000, 0.007733
0.010206, 0.000000, 0.008250
0.010213, 0.000000, 0.008806
0.010219, 0.000000, 0.009404
0.010226, 0.000000, 0.010044
0.010233, 0.000000, 0.010729
0.010239, 0.000000, 0.011461
0.010246, 0.000000, 0.012241
0.010253, 0.000000, 0.013070
0.010259, 0.000000, 0.013950
0.010266, 0.000000, 0.014881
0.010273, 0.000000, 0.015863
0.010279, 0.000000, 0.016896
0.010286, 0.000000, 0.017980
0.010293, 0.000000, 0.019114
0.010299, 0.000000, 0.020297
0.010306, 0.000000, 0.021528
0.010312, 0.000000, 0.022805
0.010319, 0.000000, 0.024128
0.010326, 0.000000, 0.025494
0.010332, 0.000000, 0.026901
0.010339, 0.000000, 0.028348
0.010346, 0.000000, 0.029833
0.010352, 0.000000, 0.031353
0.010359, 0.000000, 0.032908
0.010366, 0.000000, 0.034495
0.010372, 0.000000, 0.036113
0.010386, 0.000000, 0.039441
0.010399, 0.000000, 0.042871
0.010412, 0.000000, 0.046392
0.010426, 0.000000, 0.049994
0.010439, 0.000000, 0.053665
0.010452, 0.000000, 0.057398
0.010479, 0.000000, 0.065055
0.010505, 0.000000, 0.072863
0.010532, 0.000000, 0.080771
0.010559, 0.000000, 0.088735
0.010585, 0.000000, 0.096711
0.010612, 0.000000, 0.104664
0.010638, 0.000000, 0.112555
0.010691, 0.000000, 0.128287
0.010745, 0.000000, 0.143402
0.010771, 0.000000, 0.150503
0.010798, 0.000000, 0.157364
0.010824, 0.000000, 0.163964
0.010851, 0.000000, 0.170288
0.010878, 0.000000, 0.176324
0.010904, 0.000000, 0.182067
0.010918, 0.000000, 0.184787
0.010931, 0.000000, 0.187431
0.010944, 0.000000, 0.190000
0.010951, 0.000000, 0.191246
0.010957, 0.000000, 0.192472
0.010964, 0.000000, 0.193679
0.010971, 0.000000, 0.194867
0.010977, 0.000000, 0.196035
0.010984, 0.000000, 0.197184
0.010991, 0.000000, 0.198312
0.010997, 0.000000, 0.199421
0.011004, 0.000000, 0.200509
0.011011, 0.000000, 0.201577
0.011024, 0.000000, 0.203670
0.011037, 0.000000, 0.205679
0.011044, 0.000000, 0.206644
0.011051, 0.000000, 0.207587
0.011057, 0.000000, 0.208510
0.011064, 0.000000, 0.209410
0.011070, 0.000000, 0.210289
0.011077, 0.000000, 0.211147
0.011084, 0.000000, 0.211983
0.011090, 0.000000, 0.212797
0.011104, 0.000000, 0.214372
0.011117, 0.000000, 0.215860
0.011130, 0.000000, 0.217261
0.011144, 0.000000, 0.218574
0.011157, 0.000000, 0.219801
0.011170, 0.000000, 0.220943
0.011184, 0.000000, 0.222002
0.011197, 0.000000, 0.222979
0.011223, 0.000000, 0.224723
0.011250, 0.000000, 0.226179
0.011277, 0.000000, 0.227374
0.011330, 0.000000, 0.229151
0.011383, 0.000000, 0.230291
0.011436, 0.000000, 0.230990
0.011489, 0.000000, 0.231403
0.011543, 0.000000, 0.231640
0.011596, 0.000000, 0.231771
0.011702, 0.000000, 0.231887
0.011809, 0.000000, 0.231928
0.011915, 0.000000, 0.231942
0.012128, 0.000000, 0.231948
0.012340, 0.000000, 0.231949
0.012766, 0.000000, 0.231950
0.013191, 0.000000, 0.231950
0.013617, 0.000000, 0.231950
0.014043, 0.000000, 0.231950
0.014468, 0.000000, 0.231950
0.014894, 0.000000, 0.231950
0.015319, 0.000000, 0.231950
0.015745, 0.000000, 0.231950
0.016170, 0.000000, 0.231950
0.016596, 0.000000, 0.231950
0.017021, 0.000000, 0.231950
0.017447, 0.000000, 0.231950
0.017872, 0.000000, 0.231950
0.018298, 0.000000, 0.231950
0.018723, 0.000000, 0.231950
0.019149, 0.000000, 0.231950
0.019574, 0.000000, 0.231950
0.020000, 0.000000, 0.231950
